id,name,address,precincts,phone,status,lat,lon
1,College Park Auditorium,3631 Main Street,"CP01B,CP02,CP012,CP04A,CP04B",+17706927105,1,33.65579812337335,-84.44926738854778
2,North River Baptist Church,12090 Hardscrabble Road,RW19,,1,34.074462950744866,-84.36391157132448
3,Southwest Art Center,915 New Hope Rd,SC02,+14708232585,1,33.7300078412091,-84.54063911951272
4,Fire Station No. 17,8675 Ridge Rd,SC04,+14708232562,1,33.61947704750654,-84.67016071504614
5,Ormewood Park Presby. Church,1071 Delaware Avenue,01B,+17706923826,1,33.7315773848268,-84.3520455011396
6,W Oakland Missionary Bapt Ch,1025 Violet St,04T,+17706924842,1,33.727238238313674,-84.43184339928435
7,2nd Ponce De Leon Bapt Church,2715 Peachtree Rd Ne - Fam Life Center,"07H,06N,06Q",+14708232253,1,33.828777822808874,-84.3860434490497
8,Jackson Memorial Baptist Church,534 Fairburn Rd,"09C,10E",+14708858607,1,33.76953780554078,-84.50024563791338
9,Salem Baptist Church,2283 Baker Road,09D,+17622394295,1,33.77162278882234,-84.4627427358972
10,Abbotts Hill Elementary School,5575 Abbotts Bridge Road,JC05,,1,34.05499270102109,-84.19575210153975
11,Shakerag Elementary School,10885 Rogers Circle,JC01,+17706924812,1,34.04649716466258,-84.13023857281527
12,Crosspointe Community Church,77 E Crossville Rd Suite 203,RW08,,1,34.04626505761959,-84.35977400932605
13,Lake Forest Elementary School,5920 Sandy Springs Cir,SS03,+14708232395,1,33.91700279044921,-84.38349485948558
14,Ridgeview Middle School,5340 South Trimble Rd,"SS12,SS14",+14706736646,1,33.89736872604188,-84.35883591480015
15,Parkside Elem School,685 Mercer St Se,01A,+14708858879,1,33.73554000424999,-84.36482766412816
16,Dobbs Elementary School,2025 Jonesboro Rd Se,"01S,01C",+14708239965,1,33.6979872045891,-84.37234320635766
17,Little 5 Points Comm Center,1083 Austin Ave,02E,+14703007005,1,33.76223905766019,-84.35247760113378
18,Simpson Street Church Of Christ,800 Joseph E Boone Blvd Nw,"03G,03L",+17706923724,1,33.76312612944282,-84.41346378913585
19,Lindsay Street Baptist Church,550 Lindsay St,03N,+17706923412,1,33.76946773019163,-84.41668312038051
20,West Hunter Street Baptist Church,1040 Ralph David Abernathy Blvd Sw,04L,+17622394898,1,33.738031639886735,-84.42160758105001
21,St Peters Bapt Church Rec Bldg,1558 Venetian Dr,04S,+17622394718,1,33.71443180190866,-84.43975758029707
22,Morningside Baptist Church Gym,1700 Piedmont Road,"06D,06E",+14708232596,1,33.80136260477883,-84.36775671480191
23,First Presbyterian Church,1328 Peachtree Street,06R,+14707699015,1,33.791150783248725,-84.38581219141395
24,"Jackson, Warren T School",1325 Mt Paran Rd,08A,+17622394924,1,33.87092204096376,-84.42253948815946
25,Chastain Park Gymnasium,140 W Wieuca Rd,"08B,08C",+17622394483,1,33.875294022201096,-84.39176058230566
26,Morris Brandon Primary Ctr. School,2845 Margaret Mitchell Dr,"08E,08F2,09F",+17622394884,1,33.83389574716955,-84.43470370956499
27,Dogwood Senior Center,1953 Donald L Hollowell Pkwy Nw,09E,+14706737014,1,33.77578582383592,-84.44832646835604
28,Berean Seventh Day Advent. Church,291 Hamilton E Holmes Dr,"10F,03S",+17706925411,1,33.763515998735976,-84.46981504463473
29,St Paul's Episcopal Church,306 Peyton Rd,"10G,10H1,10H2",+17622394963,1,33.74748534045132,-84.47656954000881
30,Fickett School,3935 Rux Rd,11C,+17622394519,1,33.69649634192295,-84.51620644761927
31,Cascade Elementary School,2326 Venetian Dr Sw,11K,,1,33.71802403560968,-84.46557681553946
32,Westside Community Church,2114 Martin Luther King Jr Dr,10J,+14708232570,1,33.75024550088877,-84.45711638551599
33,Autry Mill Middle School,4110 Old Alabama Road,"JC13A,JC13B",+14708232296,1,34.01714885069898,-84.23937726978893
34,Benteen Elem School,200 Cassanova St,01T,+17706924797,1,33.71662926235054,-84.364483869362
35,Northview High School,10625 Parsons Road,JC06,+14708232592,1,34.03966755072472,-84.18342915090692
36,1st Baptist Church Of Roswell,710 Mimosa Blvd,RW11B,,1,34.01770344367114,-84.36364946736289
37,Antioch Baptist Ch Family Cntr,540 Cameron M Alexander Blvd Nw,"03P2,03P1A,03P1B",+17622394736,1,33.76808775117743,-84.40519390118024
38,Messiah Lutheran Church,4765 Kimball Bridge Road,JC10,+17622394772,1,34.062408698573435,-84.22067941296693
39,Centennial High School,9310 Scott Road,RW22B,,1,34.006722529942884,-84.28650402311736
40,C. A. Scott Recreation Bldg,1565 M L King Jr Dr Sw,"04D,04C",+17706927107,1,33.752729552757316,-84.43958468994262
41,Ptree Presbyterian Church,3434 Roswell Rd,08M,+14708232001,1,33.8477046797362,-84.38271859875852
42,St James Methodist Ch,4400 Peachtree Dunwoody Rd,07B,+17622394124,1,33.87471822464871,-84.35810182645191
43,James Orange Park,1305 Oakland Ln,"04M,04G",+17622394474,1,33.71914300726163,-84.42872395869816
44,Hammond Park Gym,705 Hammond Drive Ne,"SS08B,SS08C,SS08D,SS08A",+14706736746,1,33.91878987936803,-84.36140082869706
45,Sarah Rawson Smith Elem School,370 Old Ivy Rd Ne,07A,+14703005970,1,33.85764682770573,-84.37532194829538
46,Continental Colony Elementary School,3181 Hogan Rd,11J,+14708232177,1,33.67864240865729,-84.4922959859169
47,Bible Way Ministries,894 Constitution Rd,01P,+17706924788,1,33.69333302501955,-84.36022925660906
48,"Mcghee, Joseph Tennis Center",820 Beecher Ct,10M,+17622394820,1,33.732735007768355,-84.44814182831499
49,Camp Truitt Senior Center,4320 Herschel Rd,"CP07B,CP07A,CP07D,CP051,CP052,CP053,CP05B,CP06A,CP06B,CP07C,CP07E,CP07F",+17622394895,1,33.637606082988206,-84.47194724667683
50,Hopewell Baptist Church,15730 Hopewell Rd,"ML07A,ML03,ML07B",+17622394957,1,34.163934528913934,-84.28361732787918
51,Burdett Park Gym,2945 Burdett Rd,"SC09B,SC09A",+14708858597,1,33.59540887781753,-84.4836706887484
52,Solid Rock Pentecostal Church,4707 Washington Rd,"SC19A,SC19B",+17622394916,1,33.627690452733574,-84.49209756630812
53,"Brandon, Morris School",2741 Howell Mill Rd Nw,08F1,+14706736925,1,33.82962286320304,-84.41622757932473
54,Lang-Carson Recreation Center,100 Flat Shoals Ave,05A2,+17622394887,1,33.75232217610812,-84.3555137648581
55,Cliftondale Community House,4645 Butner Rd,"SC05A,SC05D,SC05E",+14706737776,1,33.65117079390565,-84.59731083324623
56,Etris Community Center,5285 Lakeside Dr,"UC02A,UC02B",+14703001203,1,33.58731897509269,-84.55785997506753
57,Cathedral Of Saint Philip,2744 Peachtree Rd Nw,07F,+17622394786,1,33.8311526142016,-84.38605771406304
58,Greater Bethany Baptist Church,786 Thurmond Street,03E,+17706924816,1,33.76030054646584,-84.41311980749663
59,Alpharetta Crabapple Government Center,12624 Broadwell Rd,"AP04A,AP04B,AP06",+17706925833,1,34.090060740117096,-84.33948581503498
60,1st Baptist Ch. Sandy Springs,650 Mt Vernon Hwy,"SS29A,SS29B",+14708232154,1,33.92788267418311,-84.36484356488842
61,Mt Vernon Baptist Church,850 Mt Vernon Hwy Nw,SS09A,+17706923313,1,33.90680270806241,-84.41479887565734
62,"Grant, Bitsy Tennis Center",2125 Northside Dr,08K,+14708858611,1,33.81339197786468,-84.40746723993797
63,Thomasville Recreation Center,1835 Henry Thomas Dr,01R,+17706924802,1,33.704175992940165,-84.35652437264869
