Group,Location,Address,phone number,# of signs,priority,Person,Duplicates,new number,,,Volunteer Assigned ,Shift,Notess,,,
15,Dr. Robert E. Fulton Ocee Library,5090 Abbotts Bridge Rd,470-264-3598,2,,Shine,,x,,,,,,,,
2,Grove Park Recreation Center,750 Francis Pl Nw,470-300-1201       1 poster       ,1,,Cole,,,,,,,,,,
12,Etris Community Center,5285 Lakeside Dr,470-300-1203        2 posters       ,2,,Kara Dees,,,,,,,,,,
6,Sara Rawson Smith School,370 Old Ivy Rd Ne,470-300-5970        2 posters       ,2,,Annabel Rothschild,,,,,,,,,,
16,Covenant presbyterian Church,2461 Peachtree Road,470-300-5979        1 poster       ,1,,Greg,,,,,,,dunwoody,,,
22,Little 5 Point Community Center,1083 Austin Ave,470-300-7005        1 poster       ,1,,Greg,,,,,,,,,,
24,St Stephen Missionary Baptist Church,2670 Hogan Rd,470-300-7005        2 posters       ,2,,Ajinkya Patil,,Aijinkya cancelled still has the signs,,,,,,,,
8,Cliftondale Elementary,3340 West Stubbs Rd,470-300-7023        1 poster       ,1,,David Medof,,,,,,,,,,
16,Mountain Park Community Building,100 Lakeshore Dr,470-300-7023        1 poster       ,1,,Greg,,,,,,,,,,
24,Asa Hillard Elementary,3353 Mount Olive Rd,470-673-6496        1 poster       ,1,,Ajinkya Patil,,,,,,,,,,
7,William Walker Recreation Center,2405 Fairburn Rd Sw,470-673-6576        1 poster       ,1,,Michael Best,,,,,,,,,,
20,Cleveland Avenue Library,47 Cleveland Ave,470-673-6627        1 poster   ,1,,,,,,,,,,,,
5,Ridgeview Charter Middle School,5340 South Trimble Rd,470-673-6646        1 poster       ,1,,Vlad,,,,,,,,,,
5,Hammond Park Gym,705 Hammond Drive Ne,470-673-6746        2 posters       ,2,,Vlad,Sandy Springs,,,,,,,,,
25,Morris Brandon Elementary School,2741 Howell Mill Rd Nw,470-673-6925        1 poster       ,1,,Cole,,,,,,,,,,
21,Cambridge High School,2845 Bethany Bend,470-673-6949        1 poster       ,1,,Shine,,,,,,,,,,
2,Dogwood Senior Center,1953 Donald L. Hollowell Pkwy Nw,470-673-7014       1 poster       ,1,,Cole,,,,,,,,,,
21,Hope well Middle School,13060 Cogburn Rd,470-673-7193        1 poster       ,1,,Shine,,,,,,,,,,
8,Cliftondale Park Community House,4645 Butner Rd,470-673-7776       2 posters       ,2,,David Medof,,,,,,,,,,
21,Wills Park Recreation Center,11925 Wills Rd,470-673-7783        1 poster       ,1,,Shine,,,,,,,,,,
5,High Point Elementary,520 Greenland Rd,470-673-7814       1 poster   ,1,,Vlad,,,,,,,,,,
16,Peachtree Hills Recreation Center,308 Peachtree Hills Ave Ne,470-673-7908        2 posters       ,2,,Greg,,,,,,,,,,
17,Brookview Elementary School,3250 Hammarskjold Dr,470-719-2529        2 posters       ,2,,Michael Best,,,,,,,,,,
19,First Presbyterian Church,1328 Peachtree Street,470-769-9015        1 poster       ,1,,Vlad,,,,,,,,,,
22,Grant Park Recreation Center,537 Park Avenue,470-769-9865        1 poster       ,1,,Greg,,,,,,,,,,
25,East Point First Mallalieu UM Church,2651 Church St,470-769-9918        1 poster       ,1,,Cole,,,,,,,,,,
25,Bolton Academy Elementary,2268 Adams Dr NW,470-769-9934        1 poster       ,1,,Cole,,,,,,,,,,
13,Flipper Temple AME Church,580 Atlanta Student Movement Blvd,470-769-9958        1 poster       ,1,,Greg,,,,,,,,,,
18,Sherwood Events,8610 Roswell Rd,470-823-1186        1 poster       ,1,,,,,,,,,,,,
